index,course number,course name
606,ESOL154,Level 5 Communication 
599,ESOL154N,Level 5 Communication 
607,ESOL160,Level 6 Academic Reading 
608,ESOL162,Level 6 Academic Writing 
609,ESOL163,Grammar 2 
610,ESOL164,Level 6 Academic Communication 
590,ESOL20,Level 2 Integrated Skills 
592,ESOL23,ESOL Language Learning Lab 
611,ESOL250,Level 7 Academic Reading 
612,ESOL252,Level 7 Academic Writing 
613,ESOL254,Level 7 Academic Communication 
614,ESOL260,Level 8 Academic Reading 
615,ESOL262,Level 8 Academic Writing 
616,ESOL264,Level 8 Academic Communication 
617,ESOL267,Level 8 Pronunciation 
591,ESOL30,Level 3 Integrated Skills 
600,ESOL40,Level 4 Reading 
593,ESOL40N,Level 4 Reading 
601,ESOL42,Level 4 Writing 
594,ESOL42N,Level 4 Writing 
602,ESOL44,Level 4 Communication 
595,ESOL44N,Level 4 Communication 
618,ESR140,Intro to Sustainability 
619,ESR150,Environ Studies Orientation 
620,ESR171,Environ Science:Bio Perspect 
621,ESR172,Environ Science:Chem Perspect 
622,ESR173,Environ Science:Geolog Perspec 
623,ESR200,Intro to Environmental Systems 
624,ESR201,Applied Environ Studies: 
634,FMT100,Intro Facilities Maint Systems 
635,FMT101,Refrigeration I 
636,FMT102,Refrigeration II 
637,FMT103,Refrigeration III 
638,FMT111,Refrigeration Electrical I 
639,FMT112,Refrigeration Electrical II 
640,FMT113,Refrigeration Electrical III 
641,FMT122,Intro to Boilers 
642,FMT125,Natural Gas Equipment I 
643,FMT201,Introduction to Chiller System 
644,FMT202,Dir Digital Control Adv Tech 
645,FMT210,Basic HVAC/R Install 
646,FMT222,Intermediate Boilers 
662,FN110,Personal Nutrition 
663,FN113,Everyday Nutr Lab 
664,FN225,Nutrition 
648,FP101,Prin of Emerg Services 
652,FP122,Funds of Fire Prevention 
649,FP123,Haz Mat Awareness/Operations 
653,FP130,Fire Pro Hydraulics & Water Su 
654,FP137,Fire Protection Systems 
655,FP166,Bldg Const for Fire Protection 
650,FP199D,Fire Academy Part 2 
656,FP207,Fire Service Based EMS 
657,FP212,Fire Invest (Cause Determin) 
658,FP240,Emergency Serv Instructor I 
659,FP274,Intro to Fire & Emergency Admi 
651,FP280A,CE: Fire Protection 
660,FP295,Major Emergency Tac/Strat 
665,FR101,First Year French 
666,FR102,First Year French 
667,FR103,First Year French 
668,FR202,Second Year French 
669,FR212A,Inter French Conversation 
625,FT102,Injury Prevention & Management 
626,FT103,Nutrition for Fitness Instruc 
627,FT104,Fitness Assessment 
628,FT106,Analysis of Movement 
629,FT180,Fit Tech Intern Prep 
630,FT201,Adv Fitness Assess & Presc 
631,FT202,Fitness and Aging 
686,G147,Geology of the National Parks 
687,G148,Volcanoes and Earthquakes 
688,G184,Global Climate Change 
689,G200G,Geol Field Stud Columbia River 
690,G201,Physical Geology 
691,G202,Physical Geology 
692,G207,Geology of the Pacific N.W. 
693,G209,Earthquakes 
711,GD116,Intermediate Typography 
712,GD120,Graphic Design I 
713,GD122,Graphic Design 2 
714,GD140,Digital Page Design 1 
715,GD150,Digital Illustration 1 
716,GD222,Graphic Design 5 
717,GD228,Prof. Graphic Design Practices 
718,GD242,Combined Graphic Programs 
719,GD280A,CE: Graphic Design 
674,GEO105,Human Geography 
675,GEO106,World Regional Geography 
676,GEO110,The Natural Environment 
677,GEO170,Maps and Geospatial Concepts 
678,GEO202,Geography of Europe 
679,GEO212,Geography of Global Issues 
680,GEO240,Cartography 
681,GEO246,Remote Sensing 
682,GEO248,UAS Applications 
683,GEO265,Introduction to GIS 
684,GEO266,GIS Analysis 
685,GEO280A,CE: Geography 
694,GER101,First Year German 
695,GER102,First Year German 
696,GER202,Second Year German 
697,GRN172,Adult Care Home Training 
698,GRN175,The Aging Mind 
699,GRN181,Exploring the Field of Aging 
700,GRN201,Ageism 
701,GRN234,Intro Dementia Care & Practice 
702,GRN239,End of Life Practices 
703,GRN245,Guardianship Introduction 
704,GRN247,Appl Legal & Policy Iss Aging 
705,GRN265,Activity Certification 1 
706,GRN266,Activity Certification 2 
707,GRN267,Prof Therapeutic Horticulture 
708,GRN280A,CE: Gerontology Internship 
709,GRN280B,Gerontology Internship Seminar 
710,GRN282,Gerontology Prof Seminar 
670,GS106,Physical Science (Geology) 
671,GS107,Physical Science (Astronomy) 
672,GS108,Phys Science (Oceanography) 
673,GS109,Physical Science (Meteorology) 
732,HE112,Standard First Aid & CPR/AED 
